Opening Move,# of Games,Score %,White Win %,Black Win %,Draw %
e4,7226322,52.7,42.2,36.8,21
d4,5048778,53.5,42,35,23
Nf3,1361325,54.6,43.1,33.9,23
c4,960806,53.9,41.9,34.1,24
b3,138725,53.9,45.4,37.6,17
g3,108257,53.8,42.8,35.2,22
f4,79957,48.9,38.9,41.1,20
Nc3,55952,54.7,44.7,35.3,20
e3,30688,49.1,38.1,39.9,22
b4,29339,49.2,39.2,40.8,20
d3,23634,49.3,38.8,40.2,21
c3,14481,53.2,31.7,25.3,43
a3,13520,52.3,42.3,37.7,20
g4,8294,49.8,44.8,45.2,10
h4,6132,55.3,50.8,40.2,9
a4,4966,54.6,37.6,28.4,34
f3,4408,47.4,42.4,47.6,10
h3,4289,53.2,38.2,31.8,30
Nh3,2377,48.3,40.3,43.7,16
Na3,873,48.2,41.7,45.3,13